state,source_water_area,loss,gain,extent,unit
or,seaside,6075.605445297564,2425.0143786986946,12940.43939906812,hectares
or,nehalem,25.166827623314948,20.926376069240195,157.02891525620396,hectares
or,fishhawk,838.8940570624621,502.3762695025304,3790.8434843723326,hectares
or,kernville_gleneden,1486.5291769985058,932.7203201763526,8625.774773641457,hectares
or,newport_siletz_toledo,13789.19372869695,10693.400116776347,47654.81291410089,hectares
or,youngs_river,253.3071911810661,133.81832167547486,662.1395829069039,hectares
or,cannon_beach,940.108597132353,380.2751431734449,2030.1607068274789,hectares
or,tillamook,662.7328532661224,308.8994948031564,2268.4113424356315,hectares
or,neskowin,164.15953006204046,149.4367181498929,568.7786248860681,hectares
or,warrenton,2413.7654997570053,1016.6683249643836,7001.141516273581,hectares
or,rainbow_rock_village,15.042572664292278,26.177402177734393,368.1716420819934,hectares
or,sw_lincoln_co,0.8720975367647059,0.7244390801164216,1395.5709108813867,hectares
or,rockaway,403.3074690755211,81.60479959041828,520.922024092563,hectares
or,rainbow_rock_condos,2.404887259497549,2.2541673445159316,61.86716506127451,hectares
or,mapleton,1.166559663181679,0.0,202.57106528320313,hectares
or,toledo,104.78158778167125,7.658891440908396,1063.8331770785405,hectares
or,manzanita,136.8610693215763,23.074675379327502,223.96502768439805,hectares
or,wickiup,109.58306380208332,21.933678245251215,544.4495386703419,hectares
or,vernonia,294.15104263595276,544.46884074621,978.6813183308514,hectares
or,tierra_del_mar,0.0,0.0,66.72139199218746,hectares
or,coquille,24659.888420912986,19136.432161552202,107452.58183475967,hectares
or,siletz,37.29490419328279,74.69982330097277,80.30334425704656,hectares
or,south_coast,910.024394536038,1882.7004509472672,13664.81889972515,hectares
or,lakeside,483.81500205690867,458.4877053632459,1252.9773363399997,hectares
or,heceta,19.66307815448836,3.500020274969363,143.10822021695006,hectares
or,astoria,62.824831158279714,14.06751912741268,1098.0914356003125,hectares
or,lincoln_city,199.20313824908087,161.8477740188419,3822.6151684409747,hectares
or,newport,38.039579149050255,48.741304440678626,788.3381728672693,hectares
or,alderwood,167.79499039215682,220.86199184149086,1239.043650555106,hectares
or,beverly_beach,31.232084891429228,155.90367617532215,493.266063164065,hectares
or,panther_creek,1.1450236249617034,33.37430275831035,417.0764747629413,hectares
or,myrtle_point,14080.797581213421,9365.871284653558,66568.62221884684,hectares
or,berndt_creek,3857.934147382046,3456.3993964726496,12252.981660193482,hectares
or,netarts,24.873597789713543,11.110239726753981,142.0479503490739,hectares
or,port_orford,27.546701846277575,77.77974103726257,885.472292320198,hectares
or,coos_bay,130.75437717581954,97.93635701286762,893.3923308743127,hectares
or,johnson_creek,107.58761235140929,96.25851754729624,208.52788924862128,hectares
or,bay_hills,0.0,0.0,10.954934912109378,hectares
or,yachats,11.013634730200675,0.0,313.4925027343748,hectares
or,weiss_estates,16.262645226524207,15.824482552466298,275.9649466756664,hectares
or,garden_valley,0.0,0.1481064338235294,168.7651827636726,hectares
or,beaver,742.9448251215916,833.3562849113387,6870.051820965964,hectares
or,arch_cape,151.4006992103247,36.586580345817985,479.2502516624566,hectares
or,powers,5149.992575565448,3663.1271334892044,35867.4961396579,hectares
or,bandon,23.833310430644914,87.76606336645992,802.951225904379,hectares
or,reedsport,99.6541057056143,148.44440202780348,351.1950856598528,hectares
or,waldport,107.90714426719512,47.387575838694836,1256.7889063285024,hectares
or,oceanside,7.8206440286075365,5.124438767424938,523.0658248052647,hectares
or,langlois,3119.239320454003,2599.7246082461925,13159.733998030366,hectares
or,depoe_bay,861.3946983781404,544.5767514171654,2397.074618305026,hectares
wa,island_view,188.39456820657165,62.09561788085932,275.0400123682607,hectares
wa,east_sound,0.13432154411764705,0.0,118.14211800302535,hectares
wa,rosario,5.630449217601104,0.4031137745098039,755.9345887429051,hectares
wa,ilwaco,7.288427185202206,13.023754001416973,319.1441365067785,hectares
wa,friday_harbor,17.222001304955576,36.326060925819526,1465.2627579013488,hectares
wa,hoquiam,445.61360819699763,248.6791908653113,3279.5350917344126,hectares
wa,mountain_state_park_mountain,0.0,0.0,5.3549301757812495,hectares
wa,port_angeles,1015.561201467907,771.4886040917962,83483.57943664197,hectares
wa,chinook,51.685381124770224,2.5273732115502447,139.28023449850625,hectares
wa,roche_harbor,0.8053598064108456,3.09157120825674,157.5430608926928,hectares
wa,lakedale,2.145468733915441,0.0,156.21640068742315,hectares
wa,crescent,124.84579322571996,119.60977728573084,11164.730857344977,hectares
wa,aberdeen,1152.8952490102258,437.83037826114236,2772.465777243048,hectares
wa,south_bend,191.890055339499,47.135980460899226,215.46200317708303,hectares
wa,depoebay,0.0,0.1343769362745098,518.7192380981874,hectares
wa,snow_creek,127.79193533222275,164.9475204197306,256.65001647403545,hectares
wa,hurricane_ridge,0.0,0.0,0.542676025390625,hectares
wa,long_beach,33.86289530675552,11.475295401156552,168.9094092160694,hectares
wa,lisecc,0.0,0.0,121.6433501311657,hectares
wa,madrona,33.86289530675552,11.475295401156552,168.9094092160694,hectares
wa,olga,0.13441954656862745,0.1343769362745098,751.8065838371159,hectares
wa,mountain_state_park_cascade,0.268770931372549,0.2686857107843137,330.58687960018096,hectares
wa,solduc,0.0,0.0,53.17215375976566,hectares
wa,blakely,0.2692371568627451,3.7608026794194234,152.49322308172472,hectares
wa,willapa_valley,205.0167074172795,67.46968062404261,554.2135721612683,hectares
wa,raymond,4048.1788674986606,2164.625092536749,8312.050834744441,hectares
wa,log_cabin,115.76914108609068,62.581257025888505,10711.902911597323,hectares
wa,spring_point,0.4035035294117647,0.0,13.666656953890934,hectares
wa,kalaloch,342.2343372189032,164.33240113645047,4208.490341920348,hectares
wa,naselle,91.70419431219366,6.579778408394606,603.884893741003,hectares
wa,bullman_beach,354.8593167040059,562.5892391789237,555.013086425015,hectares
